Year,Team,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,StREM,StREM Rank,StROE,StROE Rank,StRDE,StRDE Rank,StRT+,StRT+ Rank,Barthag-AN,AN Rank,Barthag-H,AN-H AVG,ANH Rank,Barthag-Mom,Mom Rank,Barthag-N,NonCon Rank,AB6R,champfilter,champfilter rank,powerfilter,powerfilter rank,DV1,DV2,RPPF,RPPF Rank,INDEX Rank,Wins,tempname,Seed,Region,YEAR
2022,Kansas,69.5494,92,69.0976,68,111.605,21,119.389,6,97.191,66,93.8965,29,25.492,6,0.366538029,9,991338.6002,5,20.60372094,21,15,12,0.9581,3,0.9425,0.9503,3,0.9681,3,0.9391,12,7.833333333,8.175903698,4,8.243010979,4,0.79029898,0.746867063,0.900070058,4,4,6,Kansas,1,M,2022
2022,Kentucky,69.3278,97,67.3275,155,114.407,9,120.191,4,95.4126,36,93.5959,27,26.5948,3,0.383613788,4,1001500.835,4,20.56380613,20,12,8,0.9424,5,0.9361,0.93925,6,0.8957,18,0.9563,6,8.333333333,8.842671194,5,8.872327211,5,0.771278256,0.731425038,0.891943402,5,5,0,Kentucky,2,E,2022
2022,Baylor,68.5501,149,67.2084,169,111.13,22,117.874,9,92.7023,15,91.5538,14,26.3204,5,0.383955676,3,952454.2749,10,20.07585761,13,8,5,0.9307,7,0.9679,0.9493,4,0.8811,25,0.9659,4,9,9.670140754,6,9.480669967,6,0.754919411,0.733148441,0.888458395,6,6,1,Baylor,1,E,2022
2022,Duke,68.2765,168,67.3866,150,117.152,5,119.363,7,98.2346,85,95.6508,44,23.7124,12,0.347296654,11,972771.1932,9,21.61874707,42,26.5,20,0.9643,2,0.9084,0.93635,8,0.972,2,0.9441,9,10.91666667,11.32081994,7,11.65874584,7,0.769942932,0.704693148,0.885241864,7,7,4,Duke,2,W,2022
2022,Tennessee,68.6808,138,67.1668,172,105.997,87,111.439,36,90.464,7,86.1987,3,25.2399,7,0.367501543,8,852922.8664,37,18.19557568,3,5.5,2,0.912,11,0.9592,0.9356,10,0.9577,4,0.9421,11,12.58333333,13.79751462,8,13.44947983,8,0.71391895,0.691664268,0.86842162,8,8,1,Tennessee,3,S,2022
2022,UCLA,67.1833,230,65.5444,258,111.821,20,116.076,15,94.6157,31,91.2287,12,24.8472,8,0.369843399,7,905203.4488,14,20.36803093,16,11.5,7,0.9115,12,0.9524,0.93195,11,0.8951,19,0.9336,14,12.75,13.98793198,9,13.68099147,9,0.712550222,0.687497668,0.867052028,9,9,2,UCLA,4,E,2022
2022,Iowa,70.3455,72,69.5965,52,118.165,4,121.548,2,101.016,160,98.0208,77,23.5269,13,0.334452097,14,1039278.529,3,21.82091047,49,31.5,27,0.9226,8,0.9191,0.92085,14,0.9548,5,0.912,21,14.75,15.98742684,10,16.01780963,10,0.711655403,0.666049972,0.8614906,10,10,0,Iowa,5,M,2022
2022,Villanova,64.1915,342,62.55,345,112.845,15,117.95,8,97.6798,75,93.8397,28,24.1107,11,0.375599573,5,893045.1468,19,22.30185834,70,37.5,35,0.9155,9,0.9564,0.93595,9,0.9061,15,0.9536,7,15.41666667,16.83961405,11,16.47167762,11,0.702520971,0.674611488,0.861347282,11,11,4,Villanova,2,S,2022
2022,Auburn,71.398,41,70.0205,40,108.347,47,113.602,24,92.1279,11,89.1491,8,24.453,10,0.342487185,12,921420.7776,11,18.4714545,5,8.5,6,0.89,18,0.9614,0.9257,13,0.8461,40,0.945,8,15.41666667,17.32209738,12,16.65406359,12,0.681026665,0.666305732,0.853842765,12,12,1,Auburn,2,M,2022
2022,Texas Tech,67.472,209,66.455,211,104.973,114,109.701,65,88.3557,2,85.0595,1,24.641,9,0.365210754,10,811978.9239,65,18.13146672,2,6,3,0.9096,13,0.9648,0.9372,7,0.9451,6,0.9234,18,18.66666667,20.5218411,13,19.91748471,13,0.6843259,0.659661718,0.85299426,13,13,2,Texas Tech,3,W,2022
2022,Purdue,66.6017,263,65.764,248,118.576,3,121.268,3,102.357,196,98.9804,100,22.2872,14,0.334640107,13,979439.7932,7,23.40956872,120,66.5,58,0.9141,10,0.9498,0.93195,12,0.8484,38,0.9632,5,23.58333333,25.79951136,15,25.30536331,15,0.672150798,0.636625974,0.843984038,14,14,2,Purdue,3,E,2022
2022,Illinois,68.1937,173,67.0758,177,110.345,30,113.725,23,98.2696,87,94.138,30,19.5866,17,0.287225946,18,881974.7374,25,21.0998658,29,23.5,16,0.8935,17,0.9198,0.90665,16,0.8937,21,0.8799,26,21.58333333,24.15594106,14,23.80558466,14,0.661342326,0.624091291,0.837930239,15,15,1,Illinois,4,S,2022
2022,San Francisco,70.641,59,68.6767,89,107.272,61,110.756,45,94.4226,29,92.3886,19,18.3679,21,0.260010476,24,866545.485,32,19.76662755,11,17.5,15,0.8999,15,0.8509,0.8754,23,0.9063,13,0.8696,31,23.41666667,26.02140979,16,26.74967634,16,0.661142883,0.593861319,0.82993881,16,16,0,San Francisco,10,E,2022
2022,Virginia Tech,63.4606,346,62.9067,344,111.1,23,114.268,18,98.0541,82,96.4045,54,17.8634,23,0.281489617,19,828616.2121,48,23.55328659,132,75.5,68,0.9085,14,0.8786,0.89355,17,0.9335,10,0.9315,15,30.75,33.84700055,21,34.41329528,24,0.650140275,0.587383022,0.825295268,17,17,0,Virginia Tech,11,E,2022
2022,Connecticut,67.0231,242,64.8837,291,109.555,34,113.924,21,95.4483,37,94.5963,35,19.3281,18,0.28837371,17,869871.2184,29,21.63585831,43,30,22,0.8747,21,0.8832,0.87895,21,0.8579,34,0.872,30,26.83333333,30.67718456,18,30.52885071,19,0.632137762,0.586500891,0.820234404,18,22,0,Connecticut,5,W,2022
2022,Texas,64.188,343,63.0969,341,105.723,94,111.812,32,91.9048,8,91.4059,13,20.4063,15,0.317911448,15,802473.4556,78,21.3847867,35,25,18,0.8666,24,0.9478,0.9072,15,0.849,37,0.9242,16,31,35.77198246,24,34.17107584,23,0.616734923,0.596882743,0.81888093,19,18,1,Texas,6,E,2022
2022,Alabama,73.3157,10,71.7144,12,109.137,37,116.098,14,104.116,238,98.7358,94,17.3625,25,0.236814216,30,988203.6691,6,21.18178002,32,31,25,0.8542,28,0.8884,0.8713,24,0.8541,36,0.9236,17,24,28.09646453,17,27.54504763,17,0.622771253,0.588919027,0.818360486,20,23,0,Alabama,6,W,2022
2022,LSU,70.6956,55,68.6446,92,102.61,163,107.64,89,89.6727,5,88.5581,5,19.0816,19,0.269916374,21,819105.3507,59,18.45750011,4,12.5,9,0.8442,35,0.9272,0.8857,19,0.8624,32,0.9347,13,26.08333333,30.89710179,19,29.44939972,18,0.609660041,0.593670408,0.816097344,21,19,0,LSU,6,M,2022
