,kenpom,tvk_H,tvk_A_N
283,St. Bonaventure,St. Bonaventure,St. Bonaventure
284,St. John's,St. John's,St. John's
285,St. Thomas,St. Thomas,St. Thomas
286,Stanford,Stanford,Stanford
287,Stephen F. Austin,Stephen F. Austin,Stephen F. Austin
288,Stetson,Stetson,Stetson
289,Stonehill,Stonehill,Stonehill
290,Stony Brook,Stony Brook,Stony Brook
291,Syracuse,Syracuse,Syracuse
292,TCU,TCU,TCU
293,Tarleton St.,Tarleton St.,Tarleton St.
294,Temple,Temple,Temple
295,Tennessee,Tennessee,Tennessee
296,Tennessee Martin,Tennessee Martin,Tennessee Martin
297,Tennessee St.,Tennessee St.,Tennessee St.
298,Tennessee Tech,Tennessee Tech,Tennessee Tech
299,Texas,Texas,Texas
300,Texas A&M,Texas A&M,Texas A&M
301,Texas A&M Corpus Chris,Texas A&M Corpus Chris,Texas A&M Corpus Chris
302,Texas Southern,Texas Southern,Texas Southern
303,Texas St.,Texas St.,Texas St.
304,Texas Tech,Texas Tech,Texas Tech
305,The Citadel,The Citadel,The Citadel
306,Toledo,Toledo,Toledo
307,Towson,Towson,Towson
308,Troy,Troy,Troy
309,Tulane,Tulane,Tulane
310,Tulsa,Tulsa,Tulsa
311,UAB,UAB,UAB
312,UC Davis,UC Davis,UC Davis
313,UC Irvine,UC Irvine,UC Irvine
314,UC Riverside,UC Riverside,UC Riverside
315,UC San Diego,UC San Diego,UC San Diego
316,UC Santa Barbara,UC Santa Barbara,UC Santa Barbara
317,UCF,UCF,UCF
318,UCLA,UCLA,UCLA
319,UMBC,UMBC,UMBC
320,UMass Lowell,UMass Lowell,UMass Lowell
321,UNC Asheville,UNC Asheville,UNC Asheville
322,UNC Greensboro,UNC Greensboro,UNC Greensboro
323,UNC Wilmington,UNC Wilmington,UNC Wilmington
324,UNLV,UNLV,UNLV
325,USC,USC,USC
326,USC Upstate,USC Upstate,USC Upstate
327,UT Arlington,UT Arlington,UT Arlington
328,UT Rio Grande Valley,UT Rio Grande Valley,UT Rio Grande Valley
329,UTEP,UTEP,UTEP
330,UTSA,UTSA,UTSA
331,Utah,Utah,Utah
332,Utah St.,Utah St.,Utah St.
